CustomDataset: images.shape=(18900, 3, 128, 128), labels.shape=(18900,)
Epoch 46/500, Train Loss: -5.6743, Val Loss: -5.2791, Recon MSE: 0.001270, Probing Acc: 0.0598, Score: 0.021240
Epoch 47/500, Train Loss: -5.6830, Val Loss: -5.3632, Recon MSE: 0.001253, Probing Acc: 0.0548, Score: 0.022884
Epoch 48/500, Train Loss: -5.6940, Val Loss: -5.4033, Recon MSE: 0.001214, Probing Acc: 0.0542, Score: 0.022392
Epoch 49/500, Train Loss: -5.7009, Val Loss: -5.4051, Recon MSE: 0.001258, Probing Acc: 0.0540, Score: 0.023302
Epoch 50/500, Train Loss: -5.7064, Val Loss: -5.4716, Recon MSE: 0.001258, Probing Acc: 0.0556, Score: 0.022644
Epoch 51/500, Train Loss: -5.7129, Val Loss: -5.6265, Recon MSE: 0.001194, Probing Acc: 0.0579, Score: 0.020617
Epoch 52/500, Train Loss: -5.7204, Val Loss: -5.4637, Recon MSE: 0.001204, Probing Acc: 0.0606, Score: 0.019881
Epoch 53/500, Train Loss: -5.7223, Val Loss: -5.5517, Recon MSE: 0.001199, Probing Acc: 0.0611, Score: 0.019614
Epoch 54/500, Train Loss: -5.7335, Val Loss: -5.2813, Recon MSE: 0.001277, Probing Acc: 0.0561, Score: 0.022762
Epoch 55/500, Train Loss: -5.7402, Val Loss: -5.6930, Recon MSE: 0.001154, Probing Acc: 0.0608, Score: 0.018959
Epoch 56/500, Train Loss: -5.7448, Val Loss: -5.5936, Recon MSE: 0.001188, Probing Acc: 0.0556, Score: 0.021382
Epoch 57/500, Train Loss: -5.7516, Val Loss: -5.6081, Recon MSE: 0.001144, Probing Acc: 0.0558, Score: 0.020502
Epoch 58/500, Train Loss: -5.7603, Val Loss: -5.6811, Recon MSE: 0.001168, Probing Acc: 0.0611, Score: 0.019111
Epoch 59/500, Train Loss: -5.7644, Val Loss: -5.6010, Recon MSE: 0.001211, Probing Acc: 0.0537, Score: 0.022543
Epoch 60/500, Train Loss: -5.7685, Val Loss: -5.4629, Recon MSE: 0.001177, Probing Acc: 0.0511, Score: 0.023043
Epoch 61/500, Train Loss: -5.7775, Val Loss: -5.6037, Recon MSE: 0.001130, Probing Acc: 0.0561, Score: 0.020139
Epoch 62/500, Train Loss: -5.7762, Val Loss: -5.4704, Recon MSE: 0.001129, Probing Acc: 0.0653, Score: 0.017279
Epoch 63/500, Train Loss: -5.7910, Val Loss: -5.4146, Recon MSE: 0.001186, Probing Acc: 0.0579, Score: 0.020466
Epoch 64/500, Train Loss: -5.7905, Val Loss: -5.0870, Recon MSE: 0.001217, Probing Acc: 0.0487, Score: 0.024996
Epoch 65/500, Train Loss: -5.7972, Val Loss: -5.4215, Recon MSE: 0.001128, Probing Acc: 0.0579, Score: 0.019466
Epoch 66/500, Train Loss: -5.8026, Val Loss: -5.3379, Recon MSE: 0.001170, Probing Acc: 0.0563, Score: 0.020762
Epoch 67/500, Train Loss: -5.8139, Val Loss: -5.5059, Recon MSE: 0.001116, Probing Acc: 0.0582, Score: 0.019178
Epoch 68/500, Train Loss: -5.8140, Val Loss: -5.5768, Recon MSE: 0.001101, Probing Acc: 0.0598, Score: 0.018411
